employee_id,department,years_at_company,satisfaction_score,last_evaluation,salary_usd,left_company
EMP-3599,Marketing,10,3.9,1.5,149136,0
EMP-3600,HR,6,3.8,2.2,59689,0
EMP-3601,Sales,4,3.8,4.0,184598,0
EMP-3602,Engineering,3,1.8,1.5,105330,1
EMP-3603,Sales,9,1.0,4.2,150958,0
EMP-3604,Engineering,15,3.7,2.2,102901,0
EMP-3605,HR,11,2.4,4.2,58624,1
EMP-3606,Engineering,11,2.4,1.4,188911,0
EMP-3607,Sales,10,1.5,4.0,57445,0
EMP-3608,HR,14,1.0,3.0,59728,0
EMP-3609,Finance,15,4.8,1.9,91380,0
EMP-3610,Sales,8,3.6,4.6,167941,1
EMP-3611,Sales,1,3.7,3.9,69028,0
EMP-3612,Sales,8,1.9,1.4,134862,1
EMP-3613,Sales,15,2.3,1.3,90832,0
EMP-3614,Marketing,7,4.1,1.6,84619,0
EMP-3615,Finance,1,3.0,4.3,89395,0
EMP-3616,HR,4,4.8,3.2,67113,0
EMP-3617,HR,9,4.7,1.2,125340,0
EMP-3618,Finance,5,4.7,1.1,71245,0
EMP-3619,Finance,6,2.9,3.8,180589,0
EMP-3620,Engineering,4,3.9,4.6,69373,0
EMP-3621,HR,14,2.4,1.7,87520,1
EMP-3622,HR,12,1.7,1.9,100524,0
EMP-3623,HR,13,3.8,1.4,79336,0
EMP-3624,Sales,14,2.9,1.4,102981,0
EMP-3625,Finance,2,2.2,2.3,128787,0
EMP-3626,Engineering,11,4.2,4.2,185099,0
EMP-3627,Engineering,2,2.8,1.9,95597,0
EMP-3628,Marketing,13,2.0,2.1,83430,1
EMP-3629,Engineering,15,1.4,1.1,110230,1
EMP-3630,Engineering,6,4.4,2.7,197659,0
EMP-3631,Finance,8,2.0,3.2,83528,0
EMP-3632,Sales,7,1.5,2.2,117456,1
EMP-3633,Engineering,8,3.2,3.6,78896,0
EMP-3634,Finance,4,3.1,4.4,162752,0
EMP-3635,Sales,15,2.9,2.6,153221,0
EMP-3636,HR,7,3.2,2.4,179976,0
EMP-3637,Finance,9,4.0,1.2,115937,0
EMP-3638,Sales,1,1.7,2.0,81148,1
EMP-3639,Engineering,9,1.8,1.4,63243,0
EMP-3640,Sales,10,4.5,1.9,103455,0
EMP-3641,Marketing,4,3.8,3.1,174844,0
EMP-3642,HR,4,2.9,4.8,158484,0
EMP-3643,Finance,4,1.5,1.5,113761,0
EMP-3644,Engineering,1,2.1,4.9,64541,0
EMP-3645,Sales,2,3.7,3.1,81333,0
EMP-3646,Finance,1,3.9,4.0,57267,0
EMP-3647,Marketing,5,4.5,5.0,68562,0
EMP-3648,Sales,11,2.1,1.0,79594,1
EMP-3649,Marketing,5,2.4,3.0,115559,0
EMP-3650,Sales,2,1.9,3.2,186328,0
EMP-3651,Finance,5,2.5,4.5,129326,0
EMP-3652,Engineering,4,2.7,1.2,51759,0
EMP-3653,HR,10,1.9,3.6,146086,1
EMP-3654,Marketing,8,1.4,4.9,160286,0
EMP-3655,Engineering,1,1.8,4.9,56976,0
EMP-3656,Engineering,12,2.8,3.7,158545,0
EMP-3657,HR,13,1.9,3.6,67557,1
EMP-3658,Marketing,8,3.7,4.4,106006,0
EMP-3659,Sales,8,4.7,3.4,145172,0
EMP-3660,HR,5,3.3,1.7,189497,0
EMP-3661,Engineering,10,4.6,3.5,172481,0
EMP-3662,Marketing,10,4.3,2.6,64456,0
EMP-3663,Engineering,1,3.1,4.8,139902,0
EMP-3664,Marketing,12,3.8,3.4,89322,0
EMP-3665,HR,11,4.4,1.7,189242,0
EMP-3666,Finance,10,1.1,3.7,131111,0
EMP-3667,Finance,5,3.2,4.0,111533,0
EMP-3668,Marketing,9,2.9,4.9,166701,1
EMP-3669,Marketing,15,4.1,2.2,113633,0
EMP-3670,HR,3,3.3,1.2,50959,0
EMP-3671,HR,2,1.4,1.4,127721,1
EMP-3672,Marketing,15,2.7,2.1,152903,1
EMP-3673,Marketing,2,3.9,1.5,171785,0
EMP-3674,Engineering,5,1.6,3.2,130902,0
EMP-3675,Engineering,4,3.9,4.8,178923,0
EMP-3676,Sales,3,4.6,1.5,141036,0
EMP-3677,Sales,1,2.2,4.7,112769,0
EMP-3678,Engineering,6,1.5,3.7,92879,1
EMP-3679,Sales,12,2.7,4.3,138129,0
EMP-3680,Sales,12,3.0,4.7,181354,0
EMP-3681,HR,9,1.8,4.5,136110,1
EMP-3682,HR,6,3.2,4.9,176703,0
EMP-3683,Sales,6,2.1,2.9,76412,1
EMP-3684,Sales,4,1.8,3.6,155581,0
EMP-3685,HR,4,3.4,4.9,78463,0
EMP-3686,Sales,12,1.0,1.1,105977,1
EMP-3687,Marketing,1,1.1,1.3,105186,0
EMP-3688,Finance,11,2.4,1.7,176123,1
EMP-3689,Finance,15,5.0,2.3,80741,0
EMP-3690,Engineering,10,3.0,1.9,173406,0
EMP-3691,Finance,11,3.5,4.1,68059,1
EMP-3692,HR,4,2.0,4.1,141457,0
EMP-3693,Sales,1,1.6,1.3,50808,1
EMP-3694,Sales,5,3.5,3.1,125413,0
EMP-3695,HR,1,3.4,2.0,120232,0
EMP-3696,Engineering,11,4.2,2.7,88054,0
EMP-3697,Sales,12,3.2,2.4,161094,0
EMP-3698,HR,3,4.1,1.1,179460,0
EMP-3699,Engineering,11,1.7,4.8,112147,0
EMP-3700,Sales,2,2.4,4.6,132216,0
EMP-3701,Marketing,1,2.9,4.8,190556,0
EMP-3702,Engineering,10,4.6,2.7,172695,0
EMP-3703,Marketing,15,1.7,3.3,107675,0
EMP-3704,HR,13,3.7,1.2,145638,0
EMP-3705,Engineering,12,4.5,1.5,98558,0
EMP-3706,Engineering,9,4.1,3.6,182853,0
EMP-3707,Marketing,1,1.1,4.3,131706,1
EMP-3708,Finance,4,1.0,4.8,62372,1
EMP-3709,Engineering,13,2.2,1.5,129427,0
EMP-3710,Finance,3,2.3,3.7,132604,1
EMP-3711,Engineering,15,1.8,3.0,133575,1
EMP-3712,Engineering,1,4.9,3.6,96870,0
EMP-3713,Marketing,8,4.7,2.7,67850,1
EMP-3714,Marketing,12,4.6,3.8,99893,0
EMP-3715,Sales,8,1.6,2.6,144877,0
EMP-3716,Marketing,6,3.8,4.1,69670,0
EMP-3717,Finance,12,3.2,1.4,82635,0
EMP-3718,Sales,12,2.5,1.1,59694,1
EMP-3719,HR,15,1.8,2.4,58157,0
EMP-3720,Marketing,11,4.6,4.4,67588,1
EMP-3721,Marketing,12,1.0,1.9,128660,0
EMP-3722,HR,15,2.5,1.2,117924,1
EMP-3723,Marketing,13,3.1,4.3,149702,0
EMP-3724,Marketing,10,4.0,1.2,109364,0
EMP-3725,Engineering,4,3.8,4.8,113349,0
EMP-3726,Sales,9,4.3,4.9,157422,1
EMP-3727,Sales,10,1.5,2.1,109411,1
EMP-3728,HR,15,2.3,3.0,69153,1
EMP-3729,Finance,9,1.5,4.2,88082,1
EMP-3730,Sales,7,1.4,2.2,198589,1
EMP-3731,Marketing,5,3.6,4.0,164795,1
EMP-3732,Engineering,4,3.0,1.2,108663,0
EMP-3733,Engineering,3,1.7,4.4,146633,1
EMP-3734,Finance,15,2.4,1.8,54052,1
EMP-3735,Sales,15,2.2,3.0,144080,1
EMP-3736,Engineering,8,2.3,2.7,139702,1
EMP-3737,Engineering,13,4.4,1.1,156092,0
EMP-3738,Marketing,13,2.7,4.2,159800,0
EMP-3739,Engineering,1,1.2,4.9,196260,1
EMP-3740,HR,9,1.6,2.0,111020,0
EMP-3741,HR,4,3.1,3.9,68329,0
EMP-3742,HR,7,3.7,4.7,100968,0
EMP-3743,Marketing,13,2.7,2.3,104448,0
EMP-3744,Engineering,13,4.4,2.3,189155,0
EMP-3745,Sales,9,3.3,4.9,192272,0
EMP-3746,Engineering,8,1.9,2.1,144914,0
EMP-3747,Sales,12,4.6,4.1,161084,0
EMP-3748,Marketing,10,2.4,2.8,93403,0
EMP-3749,Marketing,12,3.7,2.6,105403,0
EMP-3750,HR,8,3.1,2.0,120279,0
EMP-3751,Finance,15,4.7,1.4,150057,0
EMP-3752,HR,4,3.1,4.9,140251,1
EMP-3753,Finance,6,2.1,1.2,199536,1
EMP-3754,Engineering,4,1.2,2.8,165261,0
EMP-3755,Finance,12,4.1,2.7,185551,0
EMP-3756,Sales,10,3.3,1.8,193090,0
EMP-3757,HR,10,3.0,3.4,90535,0
EMP-3758,Finance,2,2.9,3.9,100023,0
EMP-3759,Marketing,12,2.7,3.6,51857,0
EMP-3760,Finance,6,4.0,2.4,98013,0
EMP-3761,Sales,11,1.7,2.4,53321,1
EMP-3762,HR,12,1.1,1.3,84695,1
EMP-3763,Finance,8,2.0,4.1,156303,0
EMP-3764,Engineering,11,1.5,2.5,172418,1
EMP-3765,Engineering,2,1.1,4.2,114249,1
EMP-3766,Finance,9,2.9,4.1,118023,0
EMP-3767,HR,4,2.1,4.5,69159,1
EMP-3768,Sales,5,3.2,1.4,174436,0
EMP-3769,HR,8,1.5,1.2,77848,1
EMP-3770,Marketing,14,2.1,3.4,163099,1
EMP-3771,Finance,6,2.4,2.9,112451,1
EMP-3772,Sales,6,3.8,3.4,99068,0
EMP-3773,HR,7,4.8,2.1,118623,0
EMP-3774,Engineering,5,1.9,1.4,58843,0
EMP-3775,Finance,12,4.8,3.1,128563,0
EMP-3776,Marketing,2,1.5,1.6,99476,1
EMP-3777,Sales,2,1.3,2.4,130487,1
EMP-3778,Finance,11,4.2,1.0,120761,0
EMP-3779,Finance,1,4.1,2.2,107664,0
EMP-3780,Finance,7,4.5,4.6,51036,0
EMP-3781,HR,14,2.5,4.5,180879,0
EMP-3782,Sales,8,4.3,3.8,80684,0
EMP-3783,Marketing,13,2.7,3.8,168443,0
EMP-3784,Marketing,9,2.2,3.4,98196,0
EMP-3785,Engineering,10,4.3,1.3,131975,1
EMP-3786,HR,5,3.9,1.4,81732,0
EMP-3787,HR,7,1.2,3.0,121711,1
EMP-3788,HR,12,4.0,3.9,59077,0
EMP-3789,Engineering,3,3.9,2.1,55500,0
EMP-3790,Engineering,3,1.7,2.1,138482,1
EMP-3791,Engineering,7,2.5,4.8,111973,0
EMP-3792,HR,2,1.4,1.1,155835,1
EMP-3793,Sales,7,3.3,3.4,96889,0
EMP-3794,Sales,14,5.0,2.1,89473,0
EMP-3795,Marketing,15,3.4,3.3,70558,1
EMP-3796,Marketing,9,4.6,4.5,196569,0
EMP-3797,HR,3,3.6,1.7,98782,0
EMP-3798,HR,12,2.0,1.8,181561,0
EMP-3799,Sales,6,2.6,1.6,150554,0
EMP-3800,Finance,4,1.2,1.1,171811,0
EMP-3801,Marketing,11,2.9,4.8,128044,0
EMP-3802,Finance,5,2.0,4.2,61245,0
EMP-3803,HR,10,4.6,3.7,72817,1
EMP-3804,Engineering,14,2.7,3.8,120332,0
EMP-3805,HR,14,2.1,3.2,91789,1
EMP-3806,Marketing,15,3.7,2.5,197095,0
EMP-3807,Sales,15,3.6,1.4,111886,0
EMP-3808,Finance,1,1.9,4.0,145027,1
EMP-3809,Sales,6,1.6,4.5,55528,0
EMP-3810,Finance,6,3.0,2.3,100242,0
EMP-3811,Marketing,7,1.5,1.8,89390,0
EMP-3812,Engineering,14,4.5,3.6,136823,0
EMP-3813,Marketing,11,4.1,3.5,140319,0
EMP-3814,Sales,3,1.0,1.6,76997,0
EMP-3815,Marketing,10,1.2,2.0,189161,0
EMP-3816,Sales,9,4.9,1.6,136381,0
EMP-3817,Marketing,6,4.2,1.6,97097,0
EMP-3818,Finance,3,1.1,4.2,128720,1
EMP-3819,Marketing,4,4.7,1.3,88272,0
EMP-3820,HR,8,1.9,4.4,137412,1
EMP-3821,Engineering,15,2.8,1.8,158410,0
EMP-3822,HR,8,2.1,4.4,185289,0
EMP-3823,Engineering,10,1.5,4.1,144076,1
EMP-3824,HR,11,2.0,1.5,85518,1
EMP-3825,Engineering,10,4.3,4.0,58213,1
EMP-3826,Sales,10,4.4,2.6,106139,0
EMP-3827,Marketing,2,3.3,2.8,110538,0
EMP-3828,HR,7,1.3,2.2,121898,0
EMP-3829,Sales,12,2.4,2.3,148084,1
EMP-3830,Marketing,11,4.4,2.5,191619,1
EMP-3831,Sales,14,2.5,2.6,107455,0
EMP-3832,Engineering,9,2.0,2.1,159106,1
EMP-3833,HR,1,2.0,4.2,74544,0
EMP-3834,Marketing,2,3.6,2.8,109521,1
EMP-3835,Engineering,15,3.8,4.3,195374,0
EMP-3836,Finance,8,1.4,3.4,149963,1
EMP-3837,Sales,4,1.5,2.0,85143,0
EMP-3838,Sales,12,4.6,2.9,98284,0
EMP-3839,Engineering,4,4.2,2.9,55660,1
EMP-3840,Engineering,15,2.0,4.0,136253,1
EMP-3841,Engineering,13,2.3,5.0,72307,1
EMP-3842,Sales,10,2.2,2.9,127077,1
EMP-3843,Engineering,4,1.9,1.5,160271,0
EMP-3844,Sales,14,4.8,1.1,104419,0
EMP-3845,HR,9,2.5,3.2,156812,0
EMP-3846,Sales,12,3.7,2.7,144165,0
EMP-3847,Finance,2,2.9,1.3,84955,0
EMP-3848,Finance,15,2.4,2.4,154929,0
EMP-3849,Marketing,10,2.8,1.5,67591,1
EMP-3850,Marketing,12,3.6,3.3,157663,0
EMP-3851,Engineering,4,1.8,1.8,61131,1
EMP-3852,Sales,12,3.8,1.2,79952,0
EMP-3853,Finance,6,4.5,3.0,153503,0
EMP-3854,Marketing,15,2.6,4.5,172796,0
EMP-3855,Marketing,13,2.7,1.2,119562,0
EMP-3856,Sales,9,4.8,2.9,138311,0
EMP-3857,Engineering,11,1.7,4.7,192005,1
EMP-3858,Marketing,10,1.7,4.8,68135,1
EMP-3859,Finance,15,3.6,1.3,157740,0
EMP-3860,Marketing,3,1.5,1.8,68508,0
EMP-3861,HR,6,4.9,3.8,195298,0
EMP-3862,Marketing,1,2.4,1.7,168115,1
EMP-3863,Sales,12,4.5,1.4,148338,0
EMP-3864,Finance,9,1.2,1.5,90567,1
EMP-3865,Marketing,12,1.3,1.2,159411,1
EMP-3866,Finance,6,1.7,1.4,170125,1
EMP-3867,Engineering,15,4.0,4.5,103003,0
EMP-3868,Engineering,10,4.7,3.4,83421,0
EMP-3869,HR,6,1.2,3.5,162235,1
EMP-3870,Sales,4,4.2,3.9,98008,1
EMP-3871,Sales,12,3.7,1.3,183734,0
EMP-3872,Sales,4,4.9,3.3,198302,1
EMP-3873,Sales,8,4.2,3.3,183128,0
EMP-3874,Sales,4,2.8,3.4,146653,0
EMP-3875,HR,3,3.6,2.2,139344,0
EMP-3876,Sales,12,4.7,3.2,175846,0
EMP-3877,Marketing,15,4.0,2.7,89722,0
EMP-3878,Sales,2,1.5,3.0,149026,1
EMP-3879,Engineering,14,1.6,3.5,82017,1
EMP-3880,Engineering,11,3.4,3.7,101779,1
EMP-3881,HR,10,2.7,3.3,194647,1
EMP-3882,Marketing,13,3.0,3.6,57133,1
EMP-3883,Engineering,12,2.3,4.7,170634,1
EMP-3884,Engineering,12,2.1,3.7,139619,0
EMP-3885,Finance,2,4.8,3.2,107022,0
EMP-3886,HR,8,2.4,2.5,161762,0
EMP-3887,Finance,6,4.4,4.3,148579,0
EMP-3888,Finance,6,2.7,2.4,98445,0
EMP-3889,Marketing,7,1.3,4.2,98807,1
EMP-3890,HR,1,4.4,1.7,195007,0
EMP-3891,Marketing,5,4.0,3.5,116640,0
EMP-3892,Marketing,4,2.8,4.9,166583,0
EMP-3893,Engineering,5,4.5,4.0,181415,1
EMP-3894,Sales,8,2.4,2.7,50015,1
EMP-3895,Marketing,11,2.7,3.8,182989,0
EMP-3896,Finance,14,2.8,1.6,93894,0
EMP-3897,Engineering,5,3.0,2.8,78457,0
EMP-3898,HR,15,2.3,4.0,60354,1
EMP-3899,Sales,5,2.5,3.3,98029,0
EMP-3900,Finance,11,4.3,3.9,176568,0
EMP-3901,HR,12,1.4,2.9,52408,1
EMP-3902,HR,4,2.8,2.0,78294,0
EMP-3903,Engineering,5,4.1,4.4,94192,0
EMP-3904,Marketing,11,4.0,2.6,199280,0
EMP-3905,HR,4,1.7,2.3,54158,1
EMP-3906,Finance,4,2.3,1.8,179107,1
EMP-3907,Sales,11,3.2,2.0,137524,0
EMP-3908,Marketing,7,3.3,2.1,190437,0
EMP-3909,HR,3,2.8,3.9,139711,0
EMP-3910,Marketing,12,1.8,2.8,185546,1
EMP-3911,Engineering,11,3.7,1.5,108110,0
EMP-3912,Marketing,1,3.0,4.7,174897,0
EMP-3913,HR,2,1.5,2.1,191433,1
EMP-3914,HR,15,4.7,4.7,152864,0
EMP-3915,Engineering,1,1.4,2.5,113480,0
EMP-3916,Marketing,10,1.7,2.9,116912,1
EMP-3917,Engineering,10,1.8,2.0,149887,1
EMP-3918,HR,1,1.9,3.7,79826,0
EMP-3919,Finance,10,4.0,4.0,109216,0
EMP-3920,Finance,9,4.3,1.1,92251,0
EMP-3921,HR,3,3.0,3.9,81492,0
EMP-3922,Engineering,9,3.0,2.3,51730,0
EMP-3923,Finance,5,3.5,2.1,65077,1
EMP-3924,HR,14,2.9,2.6,155600,0
EMP-3925,Finance,4,3.4,4.0,71129,0
EMP-3926,Engineering,5,3.9,2.7,183329,0
EMP-3927,Engineering,13,2.0,1.3,52471,1
EMP-3928,Sales,13,2.4,2.8,169153,1
EMP-3929,Sales,8,4.6,3.2,197166,0
EMP-3930,Engineering,10,2.4,4.2,102142,0
EMP-3931,Marketing,15,2.2,2.2,87138,0
EMP-3932,Finance,4,3.0,1.2,55862,0
EMP-3933,Marketing,9,4.2,1.5,121314,0
EMP-3934,Marketing,2,4.7,2.3,193608,0
EMP-3935,Sales,13,1.6,5.0,52885,1
EMP-3936,Sales,14,2.3,5.0,152506,1
EMP-3937,Marketing,2,1.0,3.3,86804,0
EMP-3938,Finance,12,1.6,4.8,197532,0
EMP-3939,HR,6,1.3,3.5,68628,1
EMP-3940,Finance,11,4.0,4.8,119830,0
EMP-3941,Finance,12,2.9,3.4,110963,0
EMP-3942,Engineering,4,1.7,4.3,103487,0
EMP-3943,Marketing,2,1.5,2.5,129013,1
EMP-3944,Engineering,1,5.0,4.9,125291,0
EMP-3945,Engineering,6,2.6,2.3,104107,0
EMP-3946,Engineering,10,2.3,2.5,104677,0
EMP-3947,Engineering,12,2.3,2.7,102419,0
EMP-3948,Engineering,7,2.3,2.3,199519,0
EMP-3949,Finance,3,2.7,4.9,123184,0
EMP-3950,Engineering,5,1.0,1.9,83365,1
EMP-3951,Sales,4,1.1,1.4,130686,1
EMP-3952,Finance,9,3.4,3.5,176130,0
EMP-3953,HR,14,4.0,4.6,104830,0
EMP-3954,Finance,8,1.4,2.6,175773,1
EMP-3955,Marketing,1,4.9,2.6,127998,0
EMP-3956,Sales,1,1.6,4.7,88763,0
EMP-3957,Sales,1,4.7,3.7,188020,1
EMP-3958,Finance,14,4.1,4.3,165711,0
EMP-3959,HR,13,2.1,4.9,180147,0
EMP-3960,Engineering,10,4.0,2.9,124975,0
EMP-3961,Engineering,6,2.6,4.1,117966,0
EMP-3962,Marketing,11,2.7,1.6,112029,0
EMP-3963,Finance,10,4.7,1.7,118981,1
EMP-3964,Engineering,2,2.9,1.9,130068,0
EMP-3965,Marketing,14,2.5,3.1,87258,0
EMP-3966,Marketing,12,2.8,2.4,195498,0
EMP-3967,Marketing,10,3.0,3.2,192551,0
EMP-3968,Sales,7,5.0,4.6,175614,0
EMP-3969,Sales,4,3.7,2.2,74911,0
EMP-3970,Finance,11,2.6,4.7,155952,0
EMP-3971,HR,4,1.4,4.5,157648,0
EMP-3972,HR,4,2.0,2.5,179011,0
EMP-3973,Finance,8,3.3,2.8,125721,0
EMP-3974,Finance,10,1.6,1.2,174198,0
EMP-3975,Finance,14,3.7,2.9,76135,1
EMP-3976,Marketing,10,1.3,3.7,192147,1
EMP-3977,Engineering,10,4.4,1.7,118755,0
EMP-3978,Sales,3,3.2,4.9,73335,0
EMP-3979,Engineering,14,2.9,4.2,141422,0
EMP-3980,HR,10,1.9,2.6,64488,1
EMP-3981,Marketing,8,4.2,2.0,110466,1
EMP-3982,Engineering,14,3.1,3.5,77724,1
EMP-3983,Marketing,13,1.0,2.5,149433,0
EMP-3984,HR,1,1.0,2.2,159074,1
EMP-3985,Finance,13,1.9,4.9,51087,1
EMP-3986,Sales,9,2.6,4.5,163320,0
EMP-3987,Sales,3,1.1,3.2,134309,0
EMP-3988,Finance,8,3.3,2.9,115279,0
EMP-3989,HR,1,4.7,4.9,164298,0
EMP-3990,Sales,4,2.9,2.4,107380,0
EMP-3991,HR,15,1.1,2.4,74418,1
EMP-3992,Finance,15,3.6,3.1,80430,0
EMP-3993,Sales,1,2.1,4.0,184547,0
EMP-3994,HR,11,4.4,1.8,111221,0
EMP-3995,Marketing,5,4.9,3.0,57451,0
EMP-3996,Finance,6,1.9,4.1,194333,0
EMP-3997,HR,10,3.7,4.1,85736,1
EMP-3998,Finance,4,1.9,3.1,98665,0
EMP-3999,Sales,11,4.4,4.8,109536,0
EMP-4000,Marketing,12,4.5,2.8,104279,0
EMP-4001,HR,14,4.7,3.3,111536,0
EMP-4002,Engineering,1,2.1,3.0,68849,1
EMP-4003,Engineering,7,2.2,2.8,76226,1
EMP-4004,Engineering,6,3.5,1.7,61585,1
EMP-4005,Finance,2,3.7,4.4,170511,0
EMP-4006,Marketing,5,4.3,1.7,79969,0
EMP-4007,Sales,7,3.4,1.4,186485,0
EMP-4008,HR,10,2.0,3.8,162197,0
EMP-4009,Marketing,11,1.9,1.1,143953,1
EMP-4010,Marketing,12,2.1,4.9,65258,1
EMP-4011,Finance,13,3.2,4.8,149972,0
EMP-4012,Finance,4,3.6,2.4,180937,0
EMP-4013,Finance,2,4.6,4.8,71200,0
EMP-4014,Marketing,3,2.7,1.7,161049,0
EMP-4015,HR,11,1.2,4.2,108922,0
EMP-4016,Finance,9,1.9,2.3,62347,1
EMP-4017,Marketing,15,3.1,1.6,134898,0
EMP-4018,Finance,14,1.6,2.2,132454,1
EMP-4019,Sales,15,4.6,1.2,61233,1
EMP-4020,Engineering,3,4.3,1.3,89570,0
EMP-4021,HR,12,2.8,3.0,51566,0
EMP-4022,Sales,5,4.9,4.0,56634,0
EMP-4023,Engineering,6,3.2,3.3,126502,0
EMP-4024,Engineering,11,1.8,1.7,155809,1
EMP-4025,Marketing,5,4.2,1.1,193693,0
EMP-4026,Marketing,12,3.7,2.6,67891,1
EMP-4027,Engineering,1,3.7,1.0,174867,0
EMP-4028,Marketing,5,2.2,2.8,101929,1
EMP-4029,Finance,8,4.6,2.1,178061,0
EMP-4030,Sales,15,1.7,1.7,199942,1
EMP-4031,Sales,13,2.5,2.2,121015,0
EMP-4032,Finance,1,3.0,3.4,53220,0
EMP-4033,Sales,12,4.0,1.8,92214,0
EMP-4034,Engineering,12,1.4,1.3,107949,0
EMP-4035,Sales,6,3.8,4.9,179293,0
EMP-4036,Sales,3,4.2,4.9,76551,1
EMP-4037,Finance,4,3.2,3.4,62102,0
EMP-4038,Finance,7,2.2,2.6,51175,1
EMP-4039,Marketing,4,2.5,2.2,85598,0
EMP-4040,Marketing,5,2.3,2.4,93422,0
EMP-4041,Finance,14,2.7,3.7,168572,0
EMP-4042,Finance,5,4.6,2.5,123038,0
EMP-4043,Engineering,12,3.9,2.5,158733,0
EMP-4044,HR,5,3.7,4.6,127102,0
EMP-4045,Marketing,6,3.6,4.1,185492,0
EMP-4046,HR,3,3.7,4.7,148089,0
EMP-4047,Engineering,4,1.6,4.3,92527,1
EMP-4048,Finance,4,2.6,3.0,151373,0
EMP-4049,Finance,13,3.5,3.6,131375,0
EMP-4050,Finance,15,3.7,2.8,196054,0
EMP-4051,Sales,14,2.0,3.0,115710,0
EMP-4052,Finance,11,2.8,1.2,63283,1
EMP-4053,Engineering,15,3.7,1.7,64420,0
EMP-4054,HR,6,3.7,2.7,124032,1
EMP-4055,Engineering,5,1.4,3.8,184305,1
EMP-4056,Marketing,14,4.4,3.5,141054,0
EMP-4057,Engineering,10,4.9,3.2,89005,0
EMP-4058,Engineering,10,3.8,4.0,129053,0
EMP-4059,Finance,13,2.3,1.4,146358,1
EMP-4060,Marketing,3,4.4,2.4,74646,0
EMP-4061,HR,1,3.1,4.4,149798,1
EMP-4062,Finance,5,3.7,2.6,155534,1
EMP-4063,Finance,1,3.5,4.0,191956,0
EMP-4064,HR,5,4.2,2.4,189031,0
EMP-4065,Sales,4,3.5,1.7,152206,0
EMP-4066,Finance,4,2.7,4.2,151892,0
EMP-4067,Marketing,4,4.5,2.6,156867,0
EMP-4068,HR,1,4.7,2.7,94714,0
EMP-4069,Engineering,13,4.1,2.3,72341,0
EMP-4070,Engineering,12,4.6,1.4,59561,0
EMP-4071,HR,12,1.6,4.9,87294,0
EMP-4072,Marketing,1,3.7,4.0,193466,0
EMP-4073,Engineering,4,4.1,2.7,194453,0
EMP-4074,Marketing,4,4.7,2.7,196409,0
EMP-4075,Sales,15,2.4,2.8,119355,0
EMP-4076,Engineering,9,1.1,1.6,96975,1
EMP-4077,Sales,10,4.9,2.9,187029,0
EMP-4078,Marketing,3,4.9,3.8,160622,0
EMP-4079,Sales,12,4.0,1.1,79829,0
EMP-4080,HR,8,4.7,3.3,160442,0
EMP-4081,Sales,5,1.3,4.3,113158,1
EMP-4082,Sales,5,4.9,4.5,142459,0
EMP-4083,Engineering,3,4.6,5.0,197563,0
EMP-4084,HR,3,1.8,1.1,65971,0
EMP-4085,Finance,3,1.1,2.5,181741,1
EMP-4086,Engineering,4,1.0,1.4,141184,1
EMP-4087,Finance,2,1.3,2.1,136052,1
EMP-4088,Sales,1,1.4,3.5,157304,1
EMP-4089,Finance,10,1.7,1.9,115234,1
EMP-4090,Finance,8,4.8,1.5,199838,0
EMP-4091,Engineering,1,1.4,4.6,155476,1
EMP-4092,HR,1,1.9,2.2,151884,0
EMP-4093,Finance,9,1.7,1.0,76543,0
EMP-4094,Marketing,5,4.8,1.2,127565,0
EMP-4095,HR,10,3.3,3.0,118856,0
EMP-4096,Finance,2,2.4,4.9,121631,1
EMP-4097,Sales,13,3.1,1.2,178729,0
EMP-4098,HR,8,4.5,3.8,138154,0
EMP-4099,Marketing,1,2.4,3.1,182918,1
EMP-4100,Marketing,4,4.9,4.0,53013,0
EMP-4101,Sales,11,2.5,3.2,55036,1
EMP-4102,Sales,1,1.7,1.2,139828,1
EMP-4103,Marketing,2,3.4,1.3,87801,0
EMP-4104,Marketing,12,1.9,2.4,130096,0
EMP-4105,Sales,13,2.0,4.0,175982,0
EMP-4106,HR,8,2.2,1.2,56109,1
EMP-4107,HR,10,2.7,4.1,58056,0
EMP-4108,Marketing,4,2.1,2.5,184338,0
EMP-4109,Engineering,10,4.2,3.9,145314,0
EMP-4110,HR,12,2.2,3.9,159442,1
EMP-4111,HR,4,4.0,2.2,103324,0
EMP-4112,Engineering,9,2.6,3.8,65935,1
EMP-4113,Finance,11,4.3,1.0,168968,0
EMP-4114,Finance,5,1.3,1.2,178080,0
EMP-4115,Sales,5,4.0,4.6,83616,0
EMP-4116,HR,14,4.8,4.9,54577,0
EMP-4117,Finance,9,1.6,3.1,105456,1
EMP-4118,Sales,11,3.7,3.3,111439,0
EMP-4119,Finance,1,4.2,3.2,184664,0
EMP-4120,HR,4,2.8,2.4,51467,0
EMP-4121,Sales,1,3.8,2.6,143130,1
EMP-4122,HR,14,2.0,3.2,189886,0
EMP-4123,Marketing,14,3.3,3.8,115149,0
EMP-4124,Finance,2,1.3,1.7,111137,0
EMP-4125,Finance,14,4.2,3.1,184817,0
EMP-4126,Finance,11,3.5,4.8,102308,0
EMP-4127,Marketing,6,1.6,2.9,87150,1
EMP-4128,Sales,11,2.5,2.7,96487,0
EMP-4129,Marketing,11,2.7,3.0,92913,0
EMP-4130,Engineering,5,4.8,2.5,144368,0
